,SF,Char,Byte,AirTime,PointSize,MultiVal
962,9,340,170,922,90,5
963,10,340,170,1681,100,5
964,11,340,170,3690,110,5
965,12,340,170,6725,120,5
966,7,342,171,297,70,5
967,8,342,171,522,80,5
968,9,342,171,943,90,5
969,10,342,171,1681,100,5
970,11,342,171,3690,110,5
971,12,342,171,6725,120,5
972,7,344,172,297,70,5
973,8,344,172,522,80,5
974,9,344,172,943,90,5
975,10,344,172,1722,100,5
976,11,344,172,3772,110,5
977,12,344,172,6725,120,5
978,7,346,173,297,70,5
979,8,346,173,522,80,5
980,9,346,173,943,90,5
981,10,346,173,1722,100,5
982,11,346,173,3772,110,5
983,12,346,173,6889,120,5
984,7,348,174,297,70,5
985,8,348,174,533,80,5
986,9,348,174,943,90,5
987,10,348,174,1722,100,5
988,11,348,174,3772,110,5
989,12,348,174,6889,120,5
990,7,350,175,302,70,5
991,8,350,175,533,80,5
992,9,350,175,943,90,5
993,10,350,175,1722,100,5
994,11,350,175,3772,110,5
995,12,350,175,6889,120,5
996,7,352,176,302,70,5
997,8,352,176,533,80,5
998,9,352,176,963,90,5
999,10,352,176,1722,100,5
1000,11,352,176,3772,110,5
1001,12,352,176,6889,120,5
1002,7,354,177,302,70,5
1003,8,354,177,533,80,5
1004,9,354,177,963,90,5
1005,10,354,177,1763,100,5
1006,11,354,177,3854,110,5
1007,12,354,177,6889,120,5
1008,7,356,178,307,70,5
1009,8,356,178,543,80,5
1010,9,356,178,963,90,5
1011,10,356,178,1763,100,5
1012,11,356,178,3854,110,5
1013,12,356,178,7053,120,5
1014,7,358,179,307,70,5
1015,8,358,179,543,80,5
1016,9,358,179,963,90,5
1017,10,358,179,1763,100,5
1018,11,358,179,3854,110,5
1019,12,358,179,7053,120,5
1020,7,360,180,307,70,5
1021,8,360,180,543,80,5
1022,9,360,180,984,90,5
1023,10,360,180,1763,100,5
1024,11,360,180,3854,110,5
1025,12,360,180,7053,120,5
1026,7,362,181,307,70,5
1027,8,362,181,543,80,5
1028,9,362,181,984,90,5
1029,10,362,181,1763,100,5
1030,11,362,181,3936,110,5
1031,12,362,181,7053,120,5
1032,7,364,182,312,70,5
1033,8,364,182,553,80,5
1034,9,364,182,984,90,5
1035,10,364,182,1804,100,5
1036,11,364,182,3936,110,5
1037,12,364,182,7053,120,5
1038,7,366,183,312,70,5
1039,8,366,183,553,80,5
1040,9,366,183,984,90,5
1041,10,366,183,1804,100,5
1042,11,366,183,3936,110,5
1043,12,366,183,7217,120,5
1044,7,368,184,312,70,5
1045,8,368,184,553,80,5
1046,9,368,184,984,90,5
1047,10,368,184,1804,100,5
1048,11,368,184,3936,110,5
1049,12,368,184,7217,120,5
1050,7,370,185,317,70,5
1051,8,370,185,553,80,5
1052,9,370,185,1004,90,5
1053,10,370,185,1804,100,5
1054,11,370,185,3936,110,5
1055,12,370,185,7217,120,5
1056,7,372,186,317,70,5
1057,8,372,186,563,80,5
1058,9,372,186,1004,90,5
1059,10,372,186,1804,100,5
1060,11,372,186,4018,110,5
1061,12,372,186,7217,120,5
1062,7,374,187,317,70,5
1063,8,374,187,563,80,5
1064,9,374,187,1004,90,5
1065,10,374,187,1845,100,5
1066,11,374,187,4018,110,5
1067,12,374,187,7217,120,5
1068,7,376,188,317,70,5
1069,8,376,188,563,80,5
1070,9,376,188,1004,90,5
1071,10,376,188,1845,100,5
1072,11,376,188,4018,110,5
1073,12,376,188,7381,120,5
1074,7,378,189,322,70,5
1075,8,378,189,563,80,5
1076,9,378,189,1025,90,5
1077,10,378,189,1845,100,5
1078,11,378,189,4018,110,5
1079,12,378,189,7381,120,5
1080,7,380,190,322,70,5
1081,8,380,190,574,80,5
1082,9,380,190,1025,90,5
1083,10,380,190,1845,100,5
1084,11,380,190,4100,110,5
1085,12,380,190,7381,120,5
1086,7,382,191,322,70,5
1087,8,382,191,574,80,5
1088,9,382,191,1025,90,5
1089,10,382,191,1845,100,5
1090,11,382,191,4100,110,5
1091,12,382,191,7381,120,5
1092,7,384,192,327,70,5
1093,8,384,192,574,80,5
1094,9,384,192,1025,90,5
1095,10,384,192,1886,100,5
1096,11,384,192,4100,110,5
1097,12,384,192,7381,120,5
1098,7,386,193,327,70,5
1099,8,386,193,574,80,5
1100,9,386,193,1025,90,5
1101,10,386,193,1886,100,5
1102,11,386,193,4100,110,5
1103,12,386,193,7544,120,5
1104,7,388,194,327,70,5
1105,8,388,194,584,80,5
1106,9,388,194,1045,90,5
1107,10,388,194,1886,100,5
1108,11,388,194,4100,110,5
1109,12,388,194,7544,120,5
1110,7,390,195,327,70,5
1111,8,390,195,584,80,5
1112,9,390,195,1045,90,5
1113,10,390,195,1886,100,5
1114,11,390,195,4182,110,5
1115,12,390,195,7544,120,5
1116,7,392,196,333,70,5
1117,8,392,196,584,80,5
1118,9,392,196,1045,90,5
1119,10,392,196,1886,100,5
1120,11,392,196,4182,110,5
1121,12,392,196,7544,120,5
1122,7,394,197,333,70,5
1123,8,394,197,584,80,5
1124,9,394,197,1045,90,5
1125,10,394,197,1927,100,5
1126,11,394,197,4182,110,5
1127,12,394,197,7544,120,5
1128,7,396,198,333,70,5
1129,8,396,198,594,80,5
1130,9,396,198,1066,90,5
1131,10,396,198,1927,100,5
1132,11,396,198,4182,110,5
1133,12,396,198,7708,120,5
1134,7,398,199,338,70,5
1135,8,398,199,594,80,5
1136,9,398,199,1066,90,5
1137,10,398,199,1927,100,5
1138,11,398,199,4264,110,5
1139,12,398,199,7708,120,5
1140,7,400,200,338,70,5
1141,8,400,200,594,80,5
1142,9,400,200,1066,90,5
1143,10,400,200,1927,100,5
1144,11,400,200,4264,110,5
1145,12,400,200,7708,120,5
1146,7,402,201,338,70,5
1147,8,402,201,594,80,5
1148,9,402,201,1066,90,5
1149,10,402,201,1927,100,5
1150,11,402,201,4264,110,5
1151,12,402,201,7708,120,5
1152,7,404,202,338,70,5
1153,8,404,202,604,80,5
1154,9,404,202,1066,90,5
1155,10,404,202,1968,100,5
1156,11,404,202,4264,110,5
1157,12,404,202,7708,120,5
1158,7,406,203,343,70,5
1159,8,406,203,604,80,5
1160,9,406,203,1086,90,5
1161,10,406,203,1968,100,5
1162,11,406,203,4264,110,5
1163,12,406,203,7872,120,5
1164,7,408,204,343,70,5
1165,8,408,204,604,80,5
1166,9,408,204,1086,90,5
1167,10,408,204,1968,100,5
1168,11,408,204,4345,110,5
1169,12,408,204,7872,120,5
1170,7,410,205,343,70,5
1171,8,410,205,604,80,5
1172,9,410,205,1086,90,5
1173,10,410,205,1968,100,5
1174,11,410,205,4345,110,5
1175,12,410,205,7872,120,5
1176,7,412,206,348,70,5
1177,8,412,206,614,80,5
1178,9,412,206,1086,90,5
1179,10,412,206,1968,100,5
1180,11,412,206,4345,110,5
1181,12,412,206,7872,120,5
1182,7,414,207,348,70,5
1183,8,414,207,614,80,5
1184,9,414,207,1106,90,5
1185,10,414,207,2009,100,5
1186,11,414,207,4345,110,5
1187,12,414,207,7872,120,5
1188,7,416,208,348,70,5
1189,8,416,208,614,80,5
1190,9,416,208,1106,90,5
1191,10,416,208,2009,100,5
1192,11,416,208,4427,110,5
1193,12,416,208,8036,120,5
1194,7,418,209,348,70,5
1195,8,418,209,614,80,5
1196,9,418,209,1107,90,5
1197,10,418,209,2009,100,5
1198,11,418,209,4427,110,5
1199,12,418,209,8036,120,5
1200,7,420,210,353,70,5
1201,8,420,210,625,80,5
1202,9,420,210,1106,90,5
1203,10,420,210,2009,100,5
1204,11,420,210,4427,110,5
1205,12,420,210,8036,120,5
1206,7,422,211,353,70,5
1207,8,422,211,625,80,5
1208,9,422,211,1107,90,5
1209,10,422,211,2009,100,5
1210,11,422,211,4427,110,5
1211,12,422,211,8036,120,5
1212,7,424,212,353,70,5
1213,8,424,212,625,80,5
1214,9,424,212,1127,90,5
1215,10,424,212,2050,100,5
1216,11,424,212,4427,110,5
1217,12,424,212,8036,120,5
1218,7,426,213,358,70,5
1219,8,426,213,625,80,5
1220,9,426,213,1127,90,5
1221,10,426,213,2050,100,5
1222,11,426,213,4509,110,5
1223,12,426,213,8200,120,5
1224,7,428,214,358,70,5
1225,8,428,214,635,80,5
1226,9,428,214,1127,90,5
1227,10,428,214,2050,100,5
1228,11,428,214,4509,110,5
1229,12,428,214,8200,120,5
1230,7,430,215,358,70,5
1231,8,430,215,635,80,5
1232,9,430,215,1127,90,5
1233,10,430,215,2050,100,5
1234,11,430,215,4509,110,5
1235,12,430,215,8200,120,5
1236,7,432,216,358,70,5
1237,8,432,216,635,80,5
1238,9,432,216,1147,90,5
1239,10,432,216,2050,100,5
1240,11,432,216,4509,110,5
1241,12,432,216,8200,120,5
1242,7,434,217,363,70,5
1243,8,434,217,635,80,5
1244,9,434,217,1147,90,5
1245,10,434,217,2091,100,5
1246,11,434,217,4591,110,5
1247,12,434,217,8200,120,5
1248,7,436,218,363,70,5
1249,8,436,218,645,80,5
1250,9,436,218,1147,90,5
1251,10,436,218,2091,100,5
1252,11,436,218,4591,110,5
1253,12,436,218,8364,120,5
1254,7,438,219,363,70,5
1255,8,438,219,645,80,5
1256,9,438,219,1147,90,5
1257,10,438,219,2091,100,5
1258,11,438,219,4591,110,5
1259,12,438,219,8364,120,5
1260,7,440,220,368,70,5
1261,8,440,220,645,80,5
1262,9,440,220,1147,90,5
1263,10,440,220,2091,100,5
1264,11,440,220,4591,110,5
1265,12,440,220,8364,120,5
1266,7,442,221,368,70,5
1267,8,442,221,645,80,5
1268,9,442,221,1168,90,5
1269,10,442,221,2091,100,5
1270,11,442,221,4591,110,5
1271,12,442,221,8364,120,5
1272,7,444,222,368,70,5
1273,8,444,222,655,80,5
1274,9,444,222,1168,90,5
1275,10,444,222,2132,100,5
1276,11,444,222,4673,110,5
1277,12,444,222,8364,120,5
1278,7,446,223,368,70,5
1279,8,446,223,655,80,5
1280,9,446,223,1168,90,5
1281,10,446,223,2132,100,5
1282,11,446,223,4673,110,5
1283,12,446,223,8527,120,5
1284,7,448,224,374,70,5
1285,8,448,224,655,80,5
1286,9,448,224,1168,90,5
1287,10,448,224,2132,100,5
1288,11,448,224,4673,110,5
1289,12,448,224,8527,120,5
1290,7,450,225,374,70,5
1291,8,450,225,655,80,5
1292,9,450,225,1188,90,5
1293,10,450,225,2132,100,5
1294,11,450,225,4673,110,5
1295,12,450,225,8527,120,5
1296,7,452,226,374,70,5
1297,8,452,226,666,80,5
1298,9,452,226,1188,90,5
1299,10,452,226,2132,100,5
1300,11,452,226,4755,110,5
1301,12,452,226,8527,120,5
1302,7,454,227,379,70,5
1303,8,454,227,666,80,5
1304,9,454,227,1188,90,5
1305,10,454,227,2172,100,5
1306,11,454,227,4755,110,5
1307,12,454,227,8527,120,5
1308,7,456,228,379,70,5
1309,8,456,228,666,80,5
1310,9,456,228,1188,90,5
1311,10,456,228,2172,100,5
1312,11,456,228,4755,110,5
1313,12,456,228,8691,120,5
1314,7,458,229,379,70,5
1315,8,458,229,666,80,5
1316,9,458,229,1188,90,5
1317,10,458,229,2172,100,5
1318,11,458,229,4755,110,5
1319,12,458,229,8691,120,5
1320,7,460,230,379,70,5
1321,8,460,230,676,80,5
1322,9,460,230,1209,90,5
1323,10,460,230,2172,100,5
1324,11,460,230,4755,110,5
1325,12,460,230,8691,120,5
1326,7,462,231,384,70,5
1327,8,462,231,676,80,5
1328,9,462,231,1209,90,5
1329,10,462,231,2172,100,5
1330,11,462,231,4837,110,5
1331,12,462,231,8691,120,5
1332,7,464,232,384,70,5
1333,8,464,232,676,80,5
1334,9,464,232,1209,90,5
1335,10,464,232,2213,100,5
1336,11,464,232,4837,110,5
1337,12,464,232,8691,120,5
1338,7,466,233,384,70,5
1339,8,466,233,676,80,5
1340,9,466,233,1209,90,5
1341,10,466,233,2213,100,5
1342,11,466,233,4837,110,5
1343,12,466,233,8855,120,5
1344,7,468,234,389,70,5
1345,8,468,234,686,80,5
1346,9,468,234,1229,90,5
1347,10,468,234,2213,100,5
1348,11,468,234,4837,110,5
1349,12,468,234,8855,120,5
1350,7,470,235,389,70,5
1351,8,470,235,686,80,5
1352,9,470,235,1229,90,5
1353,10,470,235,2213,100,5
1354,11,470,235,4919,110,5
1355,12,470,235,8855,120,5
1356,7,472,236,389,70,5
1357,8,472,236,686,80,5
1358,9,472,236,1229,90,5
1359,10,472,236,2213,100,5
1360,11,472,236,4919,110,5
1361,12,472,236,8855,120,5
1362,7,474,237,389,70,5
1363,8,474,237,686,80,5
1364,9,474,237,1229,90,5
1365,10,474,237,2254,100,5
1366,11,474,237,4919,110,5
1367,12,474,237,8855,120,5
1368,7,476,238,394,70,5
1369,8,476,238,696,80,5
1370,9,476,238,1229,90,5
1371,10,476,238,2254,100,5
1372,11,476,238,4919,110,5
1373,12,476,238,9019,120,5
1374,7,478,239,394,70,5
1375,8,478,239,696,80,5
1376,9,478,239,1250,90,5
1377,10,478,239,2254,100,5
1378,11,478,239,4919,110,5
1379,12,478,239,9019,120,5
