,SF,Char,Byte,AirTime,PointSize,MultiVal
194,9,84,42,349,90,5
195,10,84,42,657,100,5
196,11,84,42,1396,110,5
197,12,84,42,2465,120,5
198,7,86,43,107,70,5
199,8,86,43,195,80,5
200,9,86,43,349,90,5
201,10,86,43,657,100,5
202,11,86,43,1396,110,5
203,12,86,43,2629,120,5
204,7,88,44,107,70,5
205,8,88,44,195,80,5
206,9,88,44,349,90,5
207,10,88,44,657,100,5
208,11,88,44,1396,110,5
209,12,88,44,2629,120,5
210,7,90,45,112,70,5
211,8,90,45,195,80,5
212,9,90,45,369,90,5
213,10,90,45,657,100,5
214,11,90,45,1396,110,5
215,12,90,45,2629,120,5
216,7,92,46,112,70,5
217,8,92,46,205,80,5
218,9,92,46,369,90,5
219,10,92,46,657,100,5
220,11,92,46,1478,110,5
221,12,92,46,2629,120,5
222,7,94,47,112,70,5
223,8,94,47,205,80,5
224,9,94,47,369,90,5
225,10,94,47,698,100,5
226,11,94,47,1478,110,5
227,12,94,47,2629,120,5
228,7,96,48,112,70,5
229,8,96,48,205,80,5
230,9,96,48,369,90,5
231,10,96,48,698,100,5
232,11,96,48,1478,110,5
233,12,96,48,2793,120,5
234,7,98,49,118,70,5
235,8,98,49,205,80,5
236,9,98,49,369,90,5
237,10,98,49,698,100,5
238,11,98,49,1478,110,5
239,12,98,49,2793,120,5
240,7,100,50,118,70,5
241,8,100,50,215,80,5
242,9,100,50,390,90,5
243,10,100,50,698,100,5
244,11,100,50,1478,110,5
245,12,100,50,2793,120,5
246,7,102,51,118,70,5
247,8,102,51,215,80,5
248,9,102,51,390,90,5
249,10,102,51,698,100,5
250,11,102,51,1560,110,5
251,12,102,51,2793,120,5
252,7,104,52,123,70,5
253,8,104,52,215,80,5
254,9,104,52,390,90,5
255,10,104,52,739,100,5
256,11,104,52,1560,110,5
257,12,104,52,2793,120,5
258,7,106,53,123,70,5
259,8,106,53,215,80,5
260,9,106,53,390,90,5
261,10,106,53,739,100,5
262,11,106,53,1560,110,5
263,12,106,53,2957,120,5
264,7,108,54,123,70,5
265,8,108,54,225,80,5
266,9,108,54,410,90,5
267,10,108,54,739,100,5
268,11,108,54,1560,110,5
269,12,108,54,2957,120,5
270,7,110,55,123,70,5
271,8,110,55,225,80,5
272,9,110,55,410,90,5
273,10,110,55,739,100,5
274,11,110,55,1642,110,5
275,12,110,55,2957,120,5
276,7,112,56,128,70,5
277,8,112,56,225,80,5
278,9,112,56,410,90,5
279,10,112,56,739,100,5
280,11,112,56,1642,110,5
281,12,112,56,2957,120,5
282,7,114,57,128,70,5
283,8,114,57,225,80,5
284,9,114,57,410,90,5
285,10,114,57,780,100,5
286,11,114,57,1642,110,5
287,12,114,57,2957,120,5
288,7,116,58,128,70,5
289,8,116,58,236,80,5
290,9,116,58,410,90,5
291,10,116,58,780,100,5
292,11,116,58,1642,110,5
293,12,116,58,3121,120,5
294,7,118,59,133,70,5
295,8,118,59,236,80,5
296,9,118,59,431,90,5
297,10,118,59,780,100,5
298,11,118,59,1642,110,5
299,12,118,59,3121,120,5
300,7,120,60,133,70,5
301,8,120,60,236,80,5
302,9,120,60,431,90,5
303,10,120,60,780,100,5
304,11,120,60,1724,110,5
305,12,120,60,3121,120,5
